SchoolRecordID,SeedCode,SchUID,SchoolName,SchoolMapLabel,SchoolType,CentreType,Denomination,LAName,LACode,AddressLine1,AddressLine2,AddressLine3,PostCode,PostCode_clean,Postcode_area,Postcode_district,Latitude,Longitude,GridRefEasting,GridRefNorthing,PupilRoll,FTETeacher,PropPupilsMinorityEthnic,PropPupils20PCMostDeprived,DZSIMDPercentile,DZSIMDMostDep15Pct,DZSIMDMostDep16_25Pct,DZSIMDMostDep25Pct,AddrUR8,AddrUR6,AddrUR8Desc,AddrUR6Desc,DZUR8,DZUR6,DZUR8Desc,DZUR6Desc,DataZone,UPRN,Email,Phone,Website,Notes,HasCoordinates
52,5349834,5349834S,Breadalbane Academy,Breadalbane Academy (Perth and Kinross),Secondary,Local Authority,Non-denominational,Perth and Kinross,S12000048,Breadalbane Community Campus,Crieff Road,ABERFELDY,PH15 2DU,PH15 2DU,PH,PH15,56.616972,-3.8698873,285347,748799,410,40.9,5 - <10%,0%,75,N,N,N,7,6,Remote Rural Areas,Remote Rural Areas,7,6,Remote Rural Areas,Remote Rural Areas,S01012015,124079512,Breadalbane@pkc.gov.uk,01887 822300,http://www.breadalbane.pkc.sch.uk/,,True
53,5307236,5307236S,Brechin High School,Brechin High School (Angus),Secondary,Local Authority,Non-denominational,Angus,S12000041,Brechin Community Campus,Duke Street,BRECHIN,DD9 6LB,DD9 6LB,DD,DD9,56.7367347,-2.6724434,358960,760768,562,49.8,*,15 - <20%,81,N,N,N,3,3,Accessible Small Towns,Accessible Small Towns,3,3,Accessible Small Towns,Accessible Small Towns,S01007239,117081516,BrechinHigh@angusschools.org.uk,01356 237100,http://www.brechinhigh.angus.sch.uk/,,True
54,5235634,5235634S,Bridge Of Don Academy,Bridge Of Don Academy (Aberdeen City),Secondary,Local Authority,Non-denominational,Aberdeen City,S12000033,Braehead Way,Bridge Of Don,ABERDEEN,AB22 8RR,AB22 8RR,AB,AB22,57.1847561,-2.1110928,393384,810445,770,59.0,10 - <20%,5 - <10%,77,N,N,N,1,1,Large Urban Areas,Large Urban Areas,1,1,Large Urban Areas,Large Urban Areas,S01006778,9051100768,bridgeofdon@aberdeencity.gov.uk,01224 707583,http://www.bridgeofdon.aberdeen.sch.uk/,,True
55,5531632,5531632S,Broughton High School,Broughton High School (City of Edinburgh),Secondary,Local Authority,Non-denominational,City of Edinburgh,S12000036,29 East Fettes Avenue,Edinburgh,,EH4 1EG,EH4 1EG,EH,EH4,55.960676,-3.2219544,323810,674859,1276,99.9,>20%,20 - <25%,97,N,N,N,1,1,Large Urban Areas,Large Urban Areas,1,1,Large Urban Areas,Large Urban Areas,S01008864,906460593,admin@broughton.edin.sch.uk,0131 332 7805,http://www.broughton.edin.sch.uk/,,True
56,5510031,5510031S,Broxburn Academy,Broxburn Academy (West Lothian),Secondary,Local Authority,Non-denominational,West Lothian,S12000040,Cardross Road,Broxburn,WEST LOTHIAN,EH52 6AG,EH52 6AG,EH,EH52,55.9369568,-3.4878897,307152,672545,911,70.9,5 - <10%,0 - <5%,52,N,N,N,2,2,Other Urban Areas,Other Urban Areas,2,2,Other Urban Areas,Other Urban Areas,S01013461,200004155738,wlbroxburn-ac@westlothian.org.uk,01506 282300,http://www.broxburnacademy.westlothian.org.uk,,True
57,5208734,5208734S,Buckie High School,Buckie High School (Moray),Secondary,Local Authority,Non-denominational,Moray,S12000020,West Cathcart Street,Buckie,MORAY,AB56 1QB,AB56 1QB,AB,AB56,57.6726948,-2.9698902,342247,865174,826,69.5,0 - <5%,*,62,N,N,N,3,3,Accessible Small Towns,Accessible Small Towns,3,3,Accessible Small Towns,Accessible Small Towns,S01011079,10091751347,admin.buckiehigh@moray-edunet.gov.uk,01542 832605,http://www.buckiehigh.com/,,True
58,5234034,5234034S,Bucksburn Academy,Bucksburn Academy (Aberdeen City),Secondary,Local Authority,Non-denominational,Aberdeen City,S12000033,Kepplehills Road,Bucksburn,ABERDEEN,AB21 9DG,AB21 9DG,AB,AB21,57.1773566,-2.1825272,389063,809630,907,83.4,10 - <20%,0 - <5%,37,N,N,N,1,1,Large Urban Areas,Large Urban Areas,1,1,Large Urban Areas,Large Urban Areas,S01006745,9051317884,bucksburnacademy@aberdeencity.gov.uk,01224 710700,https://www.bucksburnacademy.org.uk/,,True
59,8530033,8530033S,Calderglen High School,Calderglen High School (South Lanarkshire),Secondary,Local Authority,Non-denominational,South Lanarkshire,S12000029,High Common Road,St Leonard's,EAST KILBRIDE,G74 2LP,G74 2LP,G,G74,55.7591884,-4.1504913,265151,653854,1280,102.8,0 - <5%,0 - <5%,60,N,N,N,2,2,Other Urban Areas,Other Urban Areas,2,2,Other Urban Areas,Other Urban Areas,S01012923,484159700,office@calderglen.s-lanark.sch.uk,01355 588620,http://www.calderglen.s-lanark.sch.uk/,,True
60,8517231,8517231S,Calderhead High School,Calderhead High School (North Lanarkshire),Secondary,Local Authority,Non-denominational,North Lanarkshire,S12000050,Dyfrig Street,Shotts,,ML7 4DH,ML7 4DH,ML,ML7,55.820648,-3.797223,287493,660061,558,48.1,*,30 - <35%,54,N,N,N,3,3,Accessible Small Towns,Accessible Small Towns,3,3,Accessible Small Towns,Accessible Small Towns,S01011434,118199745,ht@calderhead.n-lanark.sch.uk,01501 826701,http://www.northlanarkshire.gov.uk/index.aspx?articleid=5914,School Contacts List UPRN (118056907) is not in SAD 2024 Q1.  GISAT has assigned the UPRN for Calderhead High School as it is in SAD 2024 Q1 (118199745).,True
61,8530130,8530130S,Calderside Academy,Calderside Academy (South Lanarkshire),Secondary,Local Authority,Non-denominational,South Lanarkshire,S12000029,Calder Street,Blanytre,,G72 0AX,G72 0AX,G,G72,55.791923,-4.093608,268830,657387,1294,111.4,0 - <5%,35 - <40%,11,Y,N,Y,2,2,Other Urban Areas,Other Urban Areas,2,2,Other Urban Areas,Other Urban Areas,S01012760,484157055,office@calderside.s-lanark.sch.uk,01698 717180,http://www.calderside.s-lanark.sch.uk/,,True
62,8505632,8505632S,Caldervale High School,Caldervale High School (North Lanarkshire),Secondary,Local Authority,Non-denominational,North Lanarkshire,S12000050,Towers Road,Airdrie,,ML6 8PG,ML6 8PG,ML,ML6,55.8656504,-3.9391497,278743,665309,1053,88.8,0 - <5%,40 - <45%,72,N,N,N,2,2,Other Urban Areas,Other Urban Areas,2,2,Other Urban Areas,Other Urban Areas,S01011628,118008182,ht@caldervale.n-lanark.sch.uk,01236 794855,http://www.northlanarkshire.gov.uk/index.aspx?articleid=5915,,True
63,8110034,8110034S,Campbeltown Grammar School,Campbeltown Grammar School (Argyll and Bute),Secondary,Local Authority,Non-denominational,Argyll and Bute,S12000035,Hutcheon Road,Campbeltown,ARGYLL,PA28 6JS,PA28 6JS,PA,PA28,55.4179394,-5.6039484,172005,619690,380,36.9,*,15 - <20%,56,N,N,N,5,4,Very Remote Small Towns,Remote Small Towns,8,6,Very Remote Rural Areas,Remote Rural Areas,S01007332,125041425,enquiries-campbeltown@argyll-bute.gov.uk,01586 553773,https://blogs.glowscotland.org.uk/ab/campbeltowngs/,,True
64,8518637,8518637S,Cardinal Newman High School,Cardinal Newman High School (North Lanarkshire),Secondary,Local Authority,Roman Catholic,North Lanarkshire,S12000050,Main Street,Bellshill,,ML4 3DW,ML4 3DW,ML,ML4,55.8165245,-4.0355851,272548,660016,840,65.0,5 - <10%,45 - <50%,83,N,N,N,6,5,Accessible Rural Areas,Accessible Rural Areas,1,1,Large Urban Areas,Large Urban Areas,S01011532,118106873,ht@cardinalnewman.n-lanark.sch.uk,01698 274944,http://www.cardinalnewman.n-lanark.sch.uk/,,True
65,8549931,8549931S,Carluke High School,Carluke High School (South Lanarkshire),Secondary,Local Authority,Non-denominational,South Lanarkshire,S12000029,Carnwath Road,Carluke,,ML8 4EA,ML8 4EA,ML,ML8,55.7355971,-3.8246067,285529,650642,1118,97.8,0 - <5%,10 - <15%,9,Y,N,Y,2,2,Other Urban Areas,Other Urban Areas,2,2,Other Urban Areas,Other Urban Areas,S01012610,484157056,office@carluke-pri.s-lanark.sch.uk,01555 773680,http://www.carluke-highschool.org.uk/,,True
66,5307430,5307430S,Carnoustie High School,Carnoustie High School (Angus),Secondary,Local Authority,Non-denominational,Angus,S12000041,Shanwell Road,Carnoustie,,DD7 7SS,DD7 7SS,DD,DD7,56.5057443,-2.7248118,355485,735089,833,73.4,0 - <5%,0 - <5%,63,N,N,N,2,2,Other Urban Areas,Other Urban Areas,2,2,Other Urban Areas,Other Urban Areas,S01007163,117083607,CarnoustieHigh@angusschools.org.uk,01241 465300,http://www.carnoustiehigh.angus.sch.uk,,True
67,8236739,8236739S,Carrick Academy,Carrick Academy (South Ayrshire),Secondary,Local Authority,Non-denominational,South Ayrshire,S12000028,72/74 Kirkoswald Road,Maybole,,KA19 8BP,KA19 8BP,KA,KA19,55.3519537,-4.696003,229167,609746,391,37.3,*,5 - <10%,42,N,N,N,3,3,Accessible Small Towns,Accessible Small Towns,3,3,Accessible Small Towns,Accessible Small Towns,S01012437,141073988,carrick.mail@south-ayrshire.gov.uk,01655 883003,https://carrickacademysayr.weebly.com/,,True
68,5918030,5918030S,Castle Douglas High School,Castle Douglas High School (Dumfries and Galloway),Secondary,Local Authority,Non-denominational,Dumfries and Galloway,S12000006,Dunmuir Road,Castle Douglas,,DG7 1LQ,DG7 1LQ,DG,DG7,54.9485799,-3.9301377,276476,563252,549,40.2,*,0%,32,N,N,N,3,3,Accessible Small Towns,Accessible Small Towns,3,3,Accessible Small Towns,Accessible Small Towns,S01007535,137049250,gw08officecastle2@ea.dumgal.sch.uk,01556 502821/2,http://www.dumgal.gov.uk/article/15536/Castle-Douglas-High-School,,True
69,6203132,6203132S,Castlebay School,Castlebay School (Na h-Eileanan an Iar),Secondary,Local Authority,Non-denominational,Na h-Eileanan an Iar,S12000013,Castlebay,Barra,,HS9 5XD,HS9 5XD,HS,HS9,56.95606,-7.4963053,66013,798433,92,16.6,*,0%,44,N,N,N,8,6,Very Remote Rural Areas,Remote Rural Areas,8,6,Very Remote Rural Areas,Remote Rural Areas,S01009014,139018060,castlebayschool@gnes.net,01871 810100,https://castlebayschool.com/,,True
70,5531934,5531934S,Castlebrae Community High School,Castlebrae Community High School (City of Edinburgh),Secondary,Local Authority,Non-denominational,City of Edinburgh,S12000036,99 Niddrie Mains Road,Edinburgh,,EH16 4DT,EH16 4DT,EH,EH16,55.9295502,-3.1343598,329222,671302,518,51.8,10 - <20%,70 - <75%,20,N,Y,Y,1,1,Large Urban Areas,Large Urban Areas,1,1,Large Urban Areas,Large Urban Areas,S01008704,906304327,admin@castlebrae.edin.sch.uk,0131 661 1282,http://www.castlebrae.edin.sch.uk/,,True
71,8628939,8628939S,Castlehead High School,Castlehead High School (Renfrewshire),Secondary,Local Authority,Non-denominational,Renfrewshire,S12000038,Camphill,off Canal Street,PAISLEY,PA1 2HL,PA1 2HL,PA,PA1,55.8389299,-4.433183,247727,663313,753,66.8,10 - <20%,40 - <45%,12,Y,N,Y,1,1,Large Urban Areas,Large Urban Areas,1,1,Large Urban Areas,Large Urban Areas,S01012130,123041804,castleheadhighenquiries@renfrewshire.gov.uk,0300 300 1300,http://www.castleheadhigh.renfrewshire.sch.uk/,,True
72,8434034,8434034S,Castlemilk High School,Castlemilk High School (Glasgow City),Secondary,Local Authority,Non-denominational,Glasgow City,S12000049,223 Castlemilk Drive,,GLASGOW,G45 9JY,G45 9JY,G,G45,55.8012676,-4.2296378,260336,658693,445,38.2,10 - <20%,80 - <85%,2,Y,N,Y,1,1,Large Urban Areas,Large Urban Areas,1,1,Large Urban Areas,Large Urban Areas,S01009979,906700251940,headteacher@castlemilkhigh.glasgow.sch.uk,0141 582 0050,http://www.castlemilkhigh.glasgow.sch.uk/,,True
73,8458332,8458332S,Cathkin High School,Cathkin High School (South Lanarkshire),Secondary,Local Authority,Non-denominational,South Lanarkshire,S12000029,Langlea Road,Cambuslang,,G72 8ES,G72 8ES,G,G72,55.8128276,-4.1814273,263398,659883,1034,86.9,5 - <10%,35 - <40%,76,N,N,N,1,1,Large Urban Areas,Large Urban Areas,1,1,Large Urban Areas,Large Urban Areas,S01012842,484153519,office@cathkin.s-lanark.sch.uk,0141 6433470,http://www.cathkin.s-lanark.sch.uk/,,True
74,5143837,5143837S,Charleston Academy,Charleston Academy (Highland),Secondary,Local Authority,Non-denominational,Highland,S12000017,General Booth Road,Kinmylies,INVERNESS,IV3 8ET,IV3 8ET,IV,IV3,57.4708193,-4.2558647,264806,844532,746,55.2,*,15 - <20%,18,N,Y,Y,2,2,Other Urban Areas,Other Urban Areas,6,5,Accessible Rural Areas,Accessible Rural Areas,S01010650,130052213,charleston.academy@highland.gov.uk,01463 234324,http://www.charleston.highland.sch.uk/,,True
75,8342334,8342334S,Chryston High School,Chryston High School (North Lanarkshire),Secondary,Local Authority,Non-denominational,North Lanarkshire,S12000050,Lindsaybeg Road,Chryston,GLASGOW,G69 9DL,G69 9DL,G,G69,55.9041251,-4.1044702,268528,669892,946,76.8,5 - <10%,5 - <10%,40,N,N,N,2,2,Other Urban Areas,Other Urban Areas,2,2,Other Urban Areas,Other Urban Areas,S01011706,118190301,ht@chrystonhigh.n-lanark.sch.uk,01236 794890,http://www.northlanarkshire.gov.uk/index.aspx?articleid=5917,,True
76,8432236,8432236S,Cleveden Secondary School,Cleveden Secondary School (Glasgow City),Secondary,Local Authority,Non-denominational,Glasgow City,S12000049,42 Cleveden Road,,GLASGOW,G12 0JW,G12 0JW,G,G12,55.8865142,-4.3031909,256042,668329,844,78.0,>20%,55 - <60%,98,N,N,N,1,1,Large Urban Areas,Large Urban Areas,1,1,Large Urban Areas,Large Urban Areas,S01010367,906700024396,headteacher@cleveden-sec.glasgow.sch.uk,0141 582 0060,http://www.clevedensecondary.com/,,True
77,8517932,8517932S,Clyde Valley High School,Clyde Valley High School (North Lanarkshire),Secondary,Local Authority,Non-denominational,North Lanarkshire,S12000050,Castlehill Road,Wishaw,,ML2 0LS,ML2 0LS,ML,ML2,55.7578897,-3.9168649,279805,653279,851,68.6,0 - <5%,40 - <45%,11,Y,N,Y,6,5,Accessible Rural Areas,Accessible Rural Areas,6,5,Accessible Rural Areas,Accessible Rural Areas,S01011360,118188937,ht@clydevalley.n-lanark.sch.uk,01698 274950,http://www.northlanarkshire.gov.uk/index.aspx?articleid=5918,UPRN is a Parent UPRN in SAD 2024 Q1.,True
78,8314136,8314136S,Clydebank High School,Clydebank High School (West Dunbartonshire),Secondary,Local Authority,Non-denominational,West Dunbartonshire,S12000039,Janetta Street,,CLYDEBANK,G81 3EJ,G81 3EJ,G,G81,55.9117789,-4.4129107,249279,671374,1194,88.6,0 - <5%,45 - <50%,33,N,N,N,1,1,Large Urban Areas,Large Urban Areas,1,1,Large Urban Areas,Large Urban Areas,S01013143,129052723,SchoolOffice.Clydebank@west-dunbarton.gov.uk,0141 533 3000,http://www.clydebankhigh.org.uk/,,True
79,8640130,8640130S,Clydeview Academy,Clydeview Academy (Inverclyde),Secondary,Local Authority,Non-denominational,Inverclyde,S12000018,Burnside Road,Gourock,,PA19 1UX,PA19 1UX,PA,PA19,55.9517179,-4.8011004,225201,676732,984,76.2,0 - <5%,20 - <25%,61,N,N,N,2,2,Other Urban Areas,Other Urban Areas,2,2,Other Urban Areas,Other Urban Areas,S01010845,119052723,INClydeview@glowscotland.onmicrosoft.com,01475 715050,http://clydeviewacademy.inverclyde.sch.uk/,,True
80,8506132,8506132S,Coatbridge High School,Coatbridge High School (North Lanarkshire),Secondary,Local Authority,Non-denominational,North Lanarkshire,S12000050,17 Park Street,Coatbridge,,ML5 3NP,ML5 3NP,ML,ML5,55.8635294,-4.017397,273840,665213,1078,85.3,5 - <10%,30 - <35%,35,N,N,N,2,2,Other Urban Areas,Other Urban Areas,2,2,Other Urban Areas,Other Urban Areas,S01011599,118121721,ht@coatbridge.n-lanark.sch.uk,01236 794848,http://www.coatbridgehigh.org.uk/,,True
81,8517738,8517738S,Coltness High School,Coltness High School (North Lanarkshire),Secondary,Local Authority,Non-denominational,North Lanarkshire,S12000050,Mossland Drive,Coltness,WISHAW,ML2 8NA,ML2 8NA,ML,ML2,55.7815025,-3.9055765,280586,655887,916,68.4,5 - <10%,30 - <35%,31,N,N,N,1,1,Large Urban Areas,Large Urban Areas,1,1,Large Urban Areas,Large Urban Areas,S01011405,118043126,ht@coltnesshigh.n-lanark.sch.uk,01698 274920,http://www.coltnesshigh.n-lanark.sch.uk/,,True
82,5329132,5329132S,Craigie High School,Craigie High School (Dundee City),Secondary,Local Authority,Non-denominational,Dundee City,S12000042,Garnet Terrace,Dundee,,DD4 7QD,DD4 7QD,DD,DD4,56.4730051,-2.9219568,343302,731591,725,66.1,10 - <20%,60 - <65%,52,N,N,N,1,1,Large Urban Areas,Large Urban Areas,1,1,Large Urban Areas,Large Urban Areas,S01007740,9059028888,craigiehighschool@dundeeschools.scot,01382 431111,http://craigiehighschool.ea.dundeecity.sch.uk/,,True
83,5532132,5532132S,Craigmount High School,Craigmount High School (City of Edinburgh),Secondary,Local Authority,Non-denominational,City of Edinburgh,S12000036,59 Craigs Road,Edinburgh,,EH12 8NH,EH12 8NH,EH,EH12,55.9450959,-3.3048119,318605,673220,1339,99.5,10 - <20%,0 - <5%,95,N,N,N,1,1,Large Urban Areas,Large Urban Areas,1,1,Large Urban Areas,Large Urban Areas,S01008960,906067430,admin@craigmount.edin.sch.uk,0131 339 6823,http://www.craigmount.edin.sch.uk/,,True
84,5532434,5532434S,Craigroyston Community High School,Craigroyston Community High School (City of Edinburgh),Secondary,Local Authority,Non-denominational,City of Edinburgh,S12000036,67 Pennywell Road,Edinburgh,,EH4 4NL,EH4 4NL,EH,EH4,55.9735317,-3.2540932,321830,676326,741,62.8,>20%,60 - <65%,1,Y,N,Y,1,1,Large Urban Areas,Large Urban Areas,1,1,Large Urban Areas,Large Urban Areas,S01008929,906464584,admin@craigroyston.edin.sch.uk,0131 477 7801,http://www.craigroyston.edin.sch.uk/,,True
85,5350336,5350336S,Crieff High School,Crieff High School (Perth and Kinross),Secondary,Local Authority,Non-denominational,Perth and Kinross,S12000048,Strathearn Community Campus,Pittenzie Road,CRIEFF,PH7 3JN,PH7 3JN,PH,PH7,56.3660806,-3.8352632,286725,720820,643,52.7,*,*,56,N,N,N,4,4,Remote Small Towns,Remote Small Towns,6,5,Accessible Rural Areas,Accessible Rural Areas,S01011857,124092356,CrieffHigh@pkc.gov.uk,01764 657600,http://www.crieffhigh.pkc.sch.uk/,,True
86,5143934,5143934S,Culloden Academy,Culloden Academy (Highland),Secondary,Local Authority,Non-denominational,Highland,S12000017,Keppoch Road,Culloden,INVERNESS,IV2 7JZ,IV2 7JZ,IV,IV2,57.4924792,-4.1295287,272457,846698,1137,84.7,*,0 - <5%,98,N,N,N,2,2,Other Urban Areas,Other Urban Areas,2,2,Other Urban Areas,Other Urban Areas,S01010574,130045350,culloden.academy@highland.gov.uk,01463 790851,http://cullodenacademy.com,,True
87,5235839,5235839S,Cults Academy,Cults Academy (Aberdeen City),Secondary,Local Authority,Non-denominational,Aberdeen City,S12000033,Quarry Road,Cults,ABERDEEN,AB15 9TP,AB15 9TP,AB,AB15,57.1183487,-2.1901586,388584,803063,1275,93.6,>20%,*,89,N,N,N,1,1,Large Urban Areas,Large Urban Areas,1,1,Large Urban Areas,Large Urban Areas,S01006525,9051005883,cultsacademy@aberdeencity.gov.uk,01224 868801,http://www.cults-academy.aberdeen.sch.uk/,,True
88,1002732,1002732S,Cumbernauld Academy,Cumbernauld Academy (North Lanarkshire),Secondary,Local Authority,Non-denominational,North Lanarkshire,S12000050,South Kildrum Ring Road,Cumbernauld,,G67 2UF,G67 2UF,G,G67,55.948596,-3.970041,277073,674593,1021,79.9,5 - <10%,20 - <25%,25,N,Y,Y,2,2,Other Urban Areas,Other Urban Areas,2,2,Other Urban Areas,Other Urban Areas,S01011750,118196429,office@cumbernauldac.n-lanark.sch.uk,01236 794864,http://www.cumbernauldac.n-lanark.sch.uk/,School Contacts List UPRN (118030833) is not in SAD 2024 Q1.  GISAT has assigned the UPRN for Cumbernauld Academy as it is in SAD 2024 Q1 (118196429).,True
89,5540739,5540739S,Currie Community High School,Currie Community High School (City of Edinburgh),Secondary,Local Authority,Non-denominational,City of Edinburgh,S12000036,31 Dolphin Avenue,Currie,EDINBURGH,EH14 5RD,EH14 5RD,EH,EH14,55.8967775,-3.3194848,317586,667860,851,64.4,10 - <20%,5 - <10%,59,N,N,N,1,1,Large Urban Areas,Large Urban Areas,1,1,Large Urban Areas,Large Urban Areas,S01008426,906299584,admin@currie.edin.sch.uk,0131 4492165,http://www.curriechs.co.uk/,,True
90,5918138,5918138S,Dalbeattie High School,Dalbeattie High School (Dumfries and Galloway),Secondary,Local Authority,Non-denominational,Dumfries and Galloway,S12000006,Craignair Road,Dalbeattie,,DG5 4LU,DG5 4LU,DG,DG5,54.9306409,-3.8307612,282788,561085,347,30.8,0 - <5%,*,66,N,N,N,6,5,Accessible Rural Areas,Accessible Rural Areas,7,6,Remote Rural Areas,Remote Rural Areas,S01007538,137109752,gw08officedalbeattie@ea.dumgal.sch.uk,1556613100,http://www.dalbeattiehigh.org.uk/,,True
91,5545838,5545838S,Dalkeith High School,Dalkeith High School (Midlothian),Secondary,Local Authority,Non-denominational,Midlothian,S12000019,2 Cousland Road,Dalkeith,,EH22 2PS,EH22 2PS,EH,EH22,55.9023031,-3.0433275,334864,668180,949,74.3,5 - <10%,5 - <10%,38,N,N,N,2,2,Other Urban Areas,Other Urban Areas,2,2,Other Urban Areas,Other Urban Areas,S01011006,120037127,dalkeith.hs@midlothian.gov.uk,0131 654 4701,http://dalkeith.mgfl.net/,,True
92,5918332,5918332S,Dalry Secondary School,Dalry Secondary School (Dumfries and Galloway),Secondary,Local Authority,Non-denominational,Dumfries and Galloway,S12000006,Kirkland Street,Dalry,CASTLE DOUGLAS,DG7 3UX,DG7 3UX,DG,DG7,55.1043813,-4.161827,262175,581020,21,7.4,*,0%,43,N,N,N,7,6,Remote Rural Areas,Remote Rural Areas,7,6,Remote Rural Areas,Remote Rural Areas,S01007550,137051763,gw08officedalry@ea.dumgal.sch.uk,01644 430259,http://www.dumgal.gov.uk/article/15539/Dalry-Secondary-School,,True
93,8516936,8516936S,Dalziel High School,Dalziel High School (North Lanarkshire),Secondary,Local Authority,Non-denominational,North Lanarkshire,S12000050,Crawford Street,Motherwell,,ML1 3AG,ML1 3AG,ML,ML1,55.7866447,-3.9998976,274688,656626,1002,74.0,10 - <20%,20 - <25%,87,N,N,N,1,1,Large Urban Areas,Large Urban Areas,1,1,Large Urban Areas,Large Urban Areas,S01011478,118063937,ht@dalziel.n-lanark.sch.uk,01698 274900,http://www.dalzielhigh.org.uk/,,True
94,5502535,5502535S,Deans Community High School,Deans Community High School (West Lothian),Secondary,Local Authority,Non-denominational,West Lothian,S12000040,Eastwood Park,Deans,LIVINGSTON,EH54 8PS,EH54 8PS,EH,EH54,55.9059669,-3.5494396,303229,669180,1006,75.1,5 - <10%,25 - <30%,82,N,N,N,2,2,Other Urban Areas,Other Urban Areas,2,2,Other Urban Areas,Other Urban Areas,S01013339,200004097590,wldeans-chs@westlothian.org.uk,01506 282155,http://www.deanscommunityhighschool.com/,,True
95,5745438,5745438S,Denny High School,Denny High School (Falkirk),Secondary,Local Authority,Non-denominational,Falkirk,S12000014,Herbertshire Park,Denny,,FK6 6EE,FK6 6EE,FK,FK6,56.0204813,-3.8969118,281859,682465,1401,116.1,0 - <5%,10 - <15%,92,N,N,N,2,2,Other Urban Areas,Other Urban Areas,2,2,Other Urban Areas,Other Urban Areas,S01009060,136076413,dennyhighschool@falkirk.gov.uk,01324 827440,http://www.dennyhigh.falkirk.sch.uk,,True
96,5119138,5119138S,Dingwall Academy,Dingwall Academy (Highland),Secondary,Local Authority,Non-denominational,Highland,S12000017,Dingwall,,,IV15 9LT,IV15 9LT,IV,IV15,57.6009731,-4.4325389,254732,859382,1062,86.1,0 - <5%,0 - <5%,57,N,N,N,4,4,Remote Small Towns,Remote Small Towns,4,4,Remote Small Towns,Remote Small Towns,S01010713,130126152,dingwall.academy@highland.gov.uk,01349 869860,http://www.dingwallacademy.com/,,True
97,8244138,8244138S,Doon Academy,Doon Academy (East Ayrshire),Secondary,Local Authority,Non-denominational,East Ayrshire,S12000008,Ayr Road,Dalmellington,,KA6 7SJ,KA6 7SJ,KA,KA6,55.324219,-4.4009895,247761,605976,240,33.4,0 - <5%,75 - <80%,18,N,Y,Y,6,5,Accessible Rural Areas,Accessible Rural Areas,6,5,Accessible Rural Areas,Accessible Rural Areas,S01007874,127029232,kenny.reilly@eastayrshire.org.uk,01292 550521,https://blogs.glowscotland.org.uk/ea/DoonAcademy/,,True
98,5109434,5109434S,Dornoch Academy,Dornoch Academy (Highland),Secondary,Local Authority,Non-denominational,Highland,S12000017,Evelix Road,Dornoch,SUTHERLAND,IV25 3HR,IV25 3HR,IV,IV25,57.8827806,-4.0455897,278799,889984,217,23.2,*,*,67,N,N,N,8,6,Very Remote Rural Areas,Remote Rural Areas,8,6,Very Remote Rural Areas,Remote Rural Areas,S01010760,130008734,dornoch.academy@highland.gov.uk,01862 810246,http://www.dornochacademy.org/,,True
99,8325731,8325731S,Douglas Academy,Douglas Academy (East Dunbartonshire),Secondary,Local Authority,Non-denominational,East Dunbartonshire,S12000045,Craigton Road,Milngavie,,G62 7HS,G62 7HS,G,G62,55.9477554,-4.3464678,253567,675234,1058,86.8,10 - <20%,0 - <5%,89,N,N,N,1,1,Large Urban Areas,Large Urban Areas,1,1,Large Urban Areas,Large Urban Areas,S01008033,132053074,office@douglas.e-dunbarton.sch.uk,0141 955 2365,http://www.douglas.e-dunbarton.sch.uk/,,True
100,5902932,5902932S,Douglas Ewart High School,Douglas Ewart High School (Dumfries and Galloway),Secondary,Local Authority,Non-denominational,Dumfries and Galloway,S12000006,Corsbie Road,Newton Stewart,,DG8 6JQ,DG8 6JQ,DG,DG8,54.9600826,-4.4898871,240677,565664,584,43.6,0 - <5%,0%,81,N,N,N,4,4,Remote Small Towns,Remote Small Towns,4,4,Remote Small Towns,Remote Small Towns,S01007515,137048044,gw08officedouglas@ea.dumgal.sch.uk,01671 403773,http://www.dehs.info,,True
101,8459932,8459932S,Drumchapel High School,Drumchapel High School (Glasgow City),Secondary,Local Authority,Non-denominational,Glasgow City,S12000049,45 Cally Avenue,,GLASGOW,G15 7SQ,G15 7SQ,G,G15,55.9139645,-4.3670216,252155,671518,706,76.2,10 - <20%,85 - <90%,3,Y,N,Y,1,1,Large Urban Areas,Large Urban Areas,1,1,Large Urban Areas,Large Urban Areas,S01010496,906700347618,headteacher@drumchapelhigh.glasgow.sch.uk,0141 582 0070,http://www.drumchapelhigh.glasgow.sch.uk/,,True
102,5532531,5532531S,Drummond Community High School,Drummond Community High School (City of Edinburgh),Secondary,Local Authority,Non-denominational,City of Edinburgh,S12000036,41 Bellevue Place,Edinburgh,,EH7 4BS,EH7 4BS,EH,EH7,55.9606588,-3.1894755,325838,674822,570,51.4,>20%,10 - <15%,73,N,N,N,1,1,Large Urban Areas,Large Urban Areas,1,1,Large Urban Areas,Large Urban Areas,S01008846,906019815,dru-adminstaff@ea.edin.sch.uk,0131 556 2651,http://www.drummond.edin.sch.uk/,,True
